Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000080,CUST2084,swiggy instamart,2025-03-09 15:29:30,24,Dairy,147,Very satisfied with the service.,5,0,0
ORD000081,CUST4456,jiomart,2025-03-09 13:29:30,39,Fruits & Vegetables,565,Very satisfied with the service.,5,0,0
ORD000085,CUST7482,blinkit,2025-03-09 19:29:30,33,Grocery,314,Packaging could be better.,3,0,0
ORD000088,CUST5339,blinkit,2025-03-09 05:29:30,5,Beverages,465,"Horrible experience, never ordering again.",1,0,1
ORD000089,CUST3287,swiggy instamart,2025-03-09 03:29:30,34,Personal Care,1690,"Fast delivery, great service!",5,0,0
ORD000091,CUST9830,blinkit,2025-03-09 18:29:30,8,Personal Care,183,Very satisfied with the service.,5,0,0
ORD000092,CUST5304,blinkit,2025-03-09 03:29:30,35,Fruits & Vegetables,288,"Fast delivery, great service!",5,0,0
ORD000094,CUST7543,jiomart,2025-03-09 22:29:30,22,Grocery,280,"Fast delivery, great service!",5,0,0
ORD000096,CUST4593,blinkit,2025-03-09 13:29:30,20,Grocery,378,Packaging could be better.,3,0,0
ORD000099,CUST9085,blinkit,2025-03-09 06:29:30,35,Beverages,364,"Not fresh, disappointed.",2,0,1
ORD000103,CUST3504,jiomart,2025-03-09 00:29:30,45,Personal Care,634,Delivery person was rude.,2,1,1
ORD000105,CUST7916,jiomart,2025-03-09 11:29:30,28,Beverages,391,Items missing from order.,2,0,1
ORD000107,CUST7304,blinkit,2025-03-09 15:29:30,31,Fruits & Vegetables,367,Good quality products.,4,0,0
ORD000111,CUST5119,jiomart,2025-03-09 10:29:30,20,Personal Care,727,Delivery person was rude.,2,0,1
ORD000114,CUST9797,jiomart,2025-03-09 19:29:30,42,Dairy,724,"Very late delivery, not happy.",2,1,1
ORD000115,CUST5371,blinkit,2025-03-09 04:29:30,52,Grocery,623,"Fast delivery, great service!",5,1,0
ORD000117,CUST2827,blinkit,2025-03-09 08:29:30,12,Dairy,599,"Fast delivery, great service!",5,0,0
ORD000119,CUST8123,jiomart,2025-03-09 02:29:30,9,Personal Care,931,Items missing from order.,2,0,1
ORD000123,CUST5315,swiggy instamart,2025-03-09 04:29:30,27,Dairy,436,Very satisfied with the service.,5,0,0
ORD000125,CUST3927,jiomart,2025-03-09 14:29:30,30,Snacks,418,Packaging could be better.,3,0,0
ORD000127,CUST2743,jiomart,2025-03-09 01:29:30,20,Fruits & Vegetables,230,"Easy to order, loved it!",5,0,0
ORD000131,CUST3504,jiomart,2025-03-09 07:29:30,24,Beverages,734,"Horrible experience, never ordering again.",1,0,1
ORD000132,CUST7126,blinkit,2025-03-09 14:29:30,50,Personal Care,1010,Packaging could be better.,3,1,0
ORD000133,CUST3646,blinkit,2025-03-09 06:29:30,29,Beverages,580,Very satisfied with the service.,5,0,0
ORD000135,CUST9689,jiomart,2025-03-09 07:29:30,33,Dairy,472,"Not fresh, disappointed.",2,0,1
ORD000139,CUST1319,jiomart,2025-03-09 02:29:30,25,Snacks,220,Delivery person was rude.,2,0,1
ORD000141,CUST6947,jiomart,2025-03-09 20:29:30,15,Dairy,517,"Horrible experience, never ordering again.",1,0,1
ORD000142,CUST6038,jiomart,2025-03-09 21:29:30,27,Dairy,244,Good quality products.,4,0,0
ORD000145,CUST4946,blinkit,2025-03-09 11:29:30,42,Personal Care,959,Delivery person was rude.,2,1,1
ORD000146,CUST2290,jiomart,2025-03-09 01:29:30,32,Snacks,155,"Very late delivery, not happy.",2,0,1
ORD000147,CUST2403,jiomart,2025-03-09 08:29:30,22,Fruits & Vegetables,131,"Very late delivery, not happy.",2,0,1
ORD000148,CUST8962,jiomart,2025-03-09 13:29:30,25,Grocery,330,Delivery person was rude.,2,0,1
ORD000149,CUST2133,blinkit,2025-03-09 15:29:30,42,Fruits & Vegetables,617,Excellent experience!,5,1,0
ORD000150,CUST9727,blinkit,2025-03-09 11:29:30,23,Dairy,403,"Not fresh, disappointed.",2,0,1
ORD000156,CUST9645,jiomart,2025-03-09 11:29:30,22,Grocery,583,Good quality products.,4,0,0
ORD000159,CUST9835,blinkit,2025-03-09 07:29:30,25,Beverages,683,Excellent experience!,5,0,0
ORD000162,CUST7537,jiomart,2025-03-09 06:29:30,34,Dairy,786,"Horrible experience, never ordering again.",1,0,1
ORD000163,CUST7118,swiggy instamart,2025-03-09 17:29:30,47,Dairy,412,"Very late delivery, not happy.",2,1,1
ORD000167,CUST2982,swiggy instamart,2025-03-09 07:29:30,41,Snacks,145,Very satisfied with the service.,5,1,0
ORD000169,CUST4681,blinkit,2025-03-09 07:29:30,42,Personal Care,1291,"Horrible experience, never ordering again.",1,1,1
ORD000175,CUST1117,jiomart,2025-03-09 11:29:30,29,Beverages,310,"Easy to order, loved it!",5,0,0
ORD000176,CUST2163,blinkit,2025-03-09 14:29:30,25,Personal Care,1727,Excellent experience!,5,0,0
ORD000177,CUST1964,jiomart,2025-03-09 17:29:30,33,Grocery,457,Items missing from order.,2,0,1
ORD000179,CUST2104,blinkit,2025-03-09 07:29:30,23,Dairy,307,"Very late delivery, not happy.",2,0,1
ORD000181,CUST6413,blinkit,2025-03-09 00:29:30,24,Personal Care,1553,Quick and reliable!,5,0,0
ORD000185,CUST5562,blinkit,2025-03-09 11:29:30,31,Grocery,788,Very satisfied with the service.,5,0,0
ORD000189,CUST3167,swiggy instamart,2025-03-09 06:29:30,51,Fruits & Vegetables,68,"Not fresh, disappointed.",2,1,1
ORD000193,CUST7669,blinkit,2025-03-09 04:29:30,14,Fruits & Vegetables,195,"Very late delivery, not happy.",2,0,1
ORD000194,CUST4119,blinkit,2025-03-09 15:29:30,28,Personal Care,1017,Packaging could be better.,3,0,0
ORD000195,CUST2545,jiomart,2025-03-09 13:29:30,25,Snacks,418,Quick and reliable!,5,0,0
ORD000198,CUST6804,jiomart,2025-03-09 07:29:30,33,Fruits & Vegetables,408,Quick and reliable!,5,0,0
ORD000202,CUST1887,swiggy instamart,2025-03-09 23:29:30,34,Dairy,661,"Fast delivery, great service!",5,0,0
ORD000206,CUST6559,jiomart,2025-03-09 05:29:30,31,Personal Care,1634,"Horrible experience, never ordering again.",1,0,1
ORD000209,CUST4139,blinkit,2025-03-09 05:29:30,32,Fruits & Vegetables,499,Very satisfied with the service.,5,0,0
ORD000214,CUST7912,blinkit,2025-03-09 15:29:30,28,Dairy,226,Delivery person was rude.,2,0,1
ORD000215,CUST4006,swiggy instamart,2025-03-09 07:29:30,11,Grocery,585,Delivery person was rude.,2,0,1
ORD000223,CUST9856,swiggy instamart,2025-03-09 22:29:30,28,Dairy,560,"Easy to order, loved it!",5,0,0
ORD000227,CUST3724,swiggy instamart,2025-03-09 22:29:30,35,Snacks,76,"Easy to order, loved it!",5,0,0
ORD000231,CUST4502,jiomart,2025-03-09 03:29:30,22,Personal Care,1384,"Fast delivery, great service!",5,0,0
ORD000237,CUST7396,swiggy instamart,2025-03-09 22:29:30,36,Dairy,187,"Horrible experience, never ordering again.",1,0,1
ORD000238,CUST5345,swiggy instamart,2025-03-09 00:29:30,25,Fruits & Vegetables,83,"Very late delivery, not happy.",2,0,1
ORD000239,CUST8454,jiomart,2025-03-09 21:29:30,44,Beverages,943,Excellent experience!,5,1,0
ORD000240,CUST5673,jiomart,2025-03-09 03:29:30,33,Dairy,412,Delivery person was rude.,2,0,1
ORD000243,CUST3536,jiomart,2025-03-09 08:29:30,37,Beverages,581,Packaging could be better.,3,0,0
ORD000244,CUST4111,swiggy instamart,2025-03-09 03:29:30,25,Fruits & Vegetables,85,"Not fresh, disappointed.",2,0,1
ORD000245,CUST5861,blinkit,2025-03-09 09:29:30,24,Snacks,426,Very satisfied with the service.,5,0,0
ORD000248,CUST9883,jiomart,2025-03-09 09:29:30,22,Grocery,431,"Fast delivery, great service!",5,0,0
ORD000250,CUST6138,jiomart,2025-03-09 23:29:30,40,Personal Care,1178,Quick and reliable!,5,0,0
ORD000254,CUST9238,blinkit,2025-03-09 20:29:30,6,Beverages,404,Good quality products.,4,0,0
ORD000256,CUST3579,jiomart,2025-03-09 14:29:30,27,Dairy,738,"Horrible experience, never ordering again.",1,0,1
ORD000257,CUST1931,swiggy instamart,2025-03-09 13:29:30,53,Dairy,626,"Easy to order, loved it!",5,1,0
ORD000260,CUST4044,blinkit,2025-03-09 08:29:30,22,Fruits & Vegetables,402,Quick and reliable!,5,0,0
ORD000262,CUST2113,swiggy instamart,2025-03-09 01:29:30,29,Grocery,683,Very satisfied with the service.,5,0,0
ORD000263,CUST4853,jiomart,2025-03-09 07:29:30,14,Dairy,299,Packaging could be better.,3,0,0
ORD000264,CUST7615,jiomart,2025-03-09 11:29:30,9,Personal Care,878,Items missing from order.,2,0,1
ORD000268,CUST2343,jiomart,2025-03-09 01:29:30,33,Grocery,535,Items missing from order.,2,0,1
ORD000270,CUST9565,blinkit,2025-03-09 21:29:30,28,Snacks,400,"Not fresh, disappointed.",2,0,1
ORD000272,CUST5272,swiggy instamart,2025-03-09 11:29:30,41,Beverages,644,"Easy to order, loved it!",5,1,0
ORD000280,CUST8491,blinkit,2025-03-09 12:29:30,22,Fruits & Vegetables,86,"Easy to order, loved it!",5,0,0
ORD000283,CUST1152,jiomart,2025-03-09 11:29:30,31,Personal Care,1910,Delivery person was rude.,2,0,1
ORD000284,CUST8508,swiggy instamart,2025-03-09 05:29:30,10,Fruits & Vegetables,260,"Horrible experience, never ordering again.",1,0,1
ORD000286,CUST2200,jiomart,2025-03-09 15:29:30,28,Personal Care,446,Packaging could be better.,3,0,0
ORD000287,CUST9808,blinkit,2025-03-09 15:29:30,23,Grocery,1474,"Horrible experience, never ordering again.",1,0,1
ORD000288,CUST4492,swiggy instamart,2025-03-09 03:29:30,30,Snacks,126,Wrong item delivered.,1,0,1
ORD000294,CUST5002,blinkit,2025-03-09 12:29:30,42,Dairy,564,Items missing from order.,2,1,1
ORD000296,CUST5669,swiggy instamart,2025-03-09 10:29:30,23,Fruits & Vegetables,558,Items missing from order.,2,0,1
ORD000297,CUST3584,swiggy instamart,2025-03-09 11:29:30,34,Fruits & Vegetables,219,Very satisfied with the service.,5,0,0
ORD000298,CUST8179,swiggy instamart,2025-03-09 05:29:30,26,Beverages,969,"Very late delivery, not happy.",2,0,1
ORD000299,CUST9900,swiggy instamart,2025-03-09 22:29:30,43,Dairy,398,Excellent experience!,5,1,0
ORD000300,CUST5956,swiggy instamart,2025-03-09 15:29:30,23,Snacks,265,"Not fresh, disappointed.",2,0,1
ORD000301,CUST9666,jiomart,2025-03-09 17:29:30,38,Dairy,613,Good quality products.,4,0,0
ORD000305,CUST3200,blinkit,2025-03-09 03:29:30,36,Personal Care,1864,Very satisfied with the service.,5,0,0
ORD000308,CUST2753,jiomart,2025-03-09 04:29:30,10,Fruits & Vegetables,390,Excellent experience!,5,0,0
ORD000311,CUST5616,blinkit,2025-03-09 17:29:30,27,Beverages,689,"Horrible experience, never ordering again.",1,0,1
ORD000319,CUST1832,swiggy instamart,2025-03-09 21:29:30,20,Snacks,460,Quick and reliable!,5,0,0
ORD000320,CUST2512,swiggy instamart,2025-03-09 06:29:30,36,Beverages,382,Packaging could be better.,3,0,0
ORD000321,CUST7939,blinkit,2025-03-09 09:29:30,40,Beverages,739,Delivery person was rude.,2,0,1
ORD000322,CUST5533,jiomart,2025-03-09 07:29:30,38,Beverages,825,Items missing from order.,2,0,1
ORD000325,CUST6464,jiomart,2025-03-09 21:29:30,27,Personal Care,1586,"Horrible experience, never ordering again.",1,0,1
ORD000327,CUST5291,blinkit,2025-03-09 01:29:30,10,Personal Care,551,Packaging could be better.,3,0,0
ORD000329,CUST8239,blinkit,2025-03-09 04:29:30,46,Personal Care,587,"Easy to order, loved it!",5,1,0
ORD000330,CUST8007,jiomart,2025-03-09 07:29:30,39,Dairy,157,Excellent experience!,5,0,0
ORD000331,CUST1158,blinkit,2025-03-09 21:29:30,32,Dairy,210,"Easy to order, loved it!",5,0,0
ORD000332,CUST2832,blinkit,2025-03-09 01:29:30,18,Dairy,406,"Easy to order, loved it!",5,0,0
ORD000334,CUST3442,jiomart,2025-03-09 03:29:30,28,Fruits & Vegetables,83,Packaging could be better.,3,0,0
ORD000337,CUST7049,blinkit,2025-03-09 19:29:30,19,Snacks,173,"Very late delivery, not happy.",2,0,1
ORD000338,CUST3426,swiggy instamart,2025-03-09 04:29:30,61,Fruits & Vegetables,95,"Easy to order, loved it!",5,1,0
ORD000341,CUST1685,blinkit,2025-03-09 11:29:30,30,Dairy,317,Packaging could be better.,3,0,0
ORD000345,CUST6862,blinkit,2025-03-09 21:29:30,30,Fruits & Vegetables,89,Wrong item delivered.,1,0,1
ORD000349,CUST6794,blinkit,2025-03-09 13:29:30,34,Beverages,377,"Easy to order, loved it!",5,0,0
ORD000350,CUST7658,jiomart,2025-03-09 14:29:30,33,Personal Care,213,Delivery person was rude.,2,0,1
ORD000351,CUST3532,jiomart,2025-03-09 03:29:30,31,Grocery,1063,"Not fresh, disappointed.",2,0,1
ORD000352,CUST4878,blinkit,2025-03-09 01:29:30,42,Personal Care,1038,Packaging could be better.,3,1,0
ORD000353,CUST3662,jiomart,2025-03-09 18:29:30,38,Grocery,1457,Quick and reliable!,5,0,0
ORD000360,CUST5065,blinkit,2025-03-09 11:29:30,35,Grocery,1449,"Very late delivery, not happy.",2,0,1
ORD000362,CUST3608,jiomart,2025-03-09 04:29:30,33,Fruits & Vegetables,591,Delivery person was rude.,2,0,1
ORD000366,CUST8711,swiggy instamart,2025-03-09 19:29:30,14,Snacks,62,Items missing from order.,2,0,1
ORD000368,CUST4269,jiomart,2025-03-09 07:29:30,43,Snacks,216,Good quality products.,4,1,0
ORD000369,CUST8541,swiggy instamart,2025-03-09 09:29:30,18,Dairy,641,Very satisfied with the service.,5,0,0
ORD000371,CUST6000,swiggy instamart,2025-03-09 09:29:30,34,Snacks,378,"Not fresh, disappointed.",2,0,1
ORD000372,CUST4728,jiomart,2025-03-09 15:29:30,39,Grocery,823,"Not fresh, disappointed.",2,0,1
ORD000375,CUST4164,swiggy instamart,2025-03-09 21:29:30,11,Fruits & Vegetables,451,Delivery person was rude.,2,0,1
ORD000377,CUST6378,blinkit,2025-03-09 02:29:30,28,Snacks,392,Quick and reliable!,5,0,0
ORD000381,CUST6753,swiggy instamart,2025-03-09 08:29:30,41,Grocery,1016,Packaging could be better.,3,1,0
ORD000388,CUST5279,swiggy instamart,2025-03-09 04:29:30,43,Snacks,204,"Horrible experience, never ordering again.",1,1,1
ORD000390,CUST5349,blinkit,2025-03-09 16:29:30,44,Beverages,750,Packaging could be better.,3,1,0
ORD000391,CUST1626,swiggy instamart,2025-03-09 01:29:30,36,Beverages,197,Good quality products.,4,0,0
ORD000393,CUST8119,blinkit,2025-03-09 15:29:30,32,Personal Care,403,Good quality products.,4,0,0
ORD000396,CUST8149,swiggy instamart,2025-03-09 10:29:30,44,Dairy,598,"Not fresh, disappointed.",2,1,1
ORD000399,CUST7311,jiomart,2025-03-09 12:29:30,42,Personal Care,521,"Fast delivery, great service!",5,1,0
ORD000404,CUST1027,jiomart,2025-03-09 09:29:30,15,Personal Care,1757,Good quality products.,4,0,0
ORD000407,CUST4228,blinkit,2025-03-09 05:29:30,35,Snacks,298,Wrong item delivered.,1,0,1
ORD000408,CUST6967,swiggy instamart,2025-03-09 22:29:30,32,Snacks,164,"Very late delivery, not happy.",2,0,1
ORD000410,CUST2146,swiggy instamart,2025-03-09 16:29:30,13,Snacks,121,Excellent experience!,5,0,0
ORD000415,CUST9308,swiggy instamart,2025-03-09 23:29:30,26,Fruits & Vegetables,204,Good quality products.,4,0,0
ORD000420,CUST5844,swiggy instamart,2025-03-09 23:29:30,31,Personal Care,1058,"Easy to order, loved it!",5,0,0
ORD000422,CUST4143,blinkit,2025-03-09 21:29:30,33,Fruits & Vegetables,58,"Fast delivery, great service!",5,0,0
ORD000423,CUST7888,blinkit,2025-03-09 13:29:30,42,Snacks,188,Quick and reliable!,5,1,0
ORD000424,CUST7211,blinkit,2025-03-09 18:29:30,27,Beverages,789,Good quality products.,4,0,0
ORD000425,CUST3851,blinkit,2025-03-09 23:29:30,37,Snacks,210,Delivery person was rude.,2,0,1
ORD000427,CUST7653,swiggy instamart,2025-03-09 19:29:30,26,Grocery,1169,"Not fresh, disappointed.",2,0,1
ORD000428,CUST9977,blinkit,2025-03-09 03:29:30,34,Fruits & Vegetables,135,Items missing from order.,2,0,1
ORD000432,CUST4443,jiomart,2025-03-09 23:29:30,11,Dairy,299,Delivery person was rude.,2,0,1
ORD000440,CUST8752,jiomart,2025-03-09 12:29:30,32,Dairy,688,"Not fresh, disappointed.",2,0,1
ORD000442,CUST2389,jiomart,2025-03-09 18:29:30,47,Fruits & Vegetables,467,"Easy to order, loved it!",5,1,0
ORD000444,CUST9445,blinkit,2025-03-09 16:29:30,21,Personal Care,1017,"Fast delivery, great service!",5,0,0
ORD000446,CUST2530,blinkit,2025-03-09 22:29:30,19,Personal Care,323,Good quality products.,4,0,0
ORD000447,CUST4848,swiggy instamart,2025-03-09 17:29:30,30,Grocery,241,Quick and reliable!,5,0,0
ORD000452,CUST1400,blinkit,2025-03-09 17:29:30,30,Snacks,292,Excellent experience!,5,0,0
ORD000456,CUST2193,jiomart,2025-03-09 21:29:30,24,Snacks,292,Good quality products.,4,0,0
ORD000457,CUST8461,swiggy instamart,2025-03-09 04:29:30,18,Dairy,251,"Fast delivery, great service!",5,0,0
ORD000458,CUST7790,swiggy instamart,2025-03-09 13:29:30,37,Beverages,922,Good quality products.,4,0,0
ORD000465,CUST1090,jiomart,2025-03-09 19:29:30,33,Personal Care,133,Packaging could be better.,3,0,0
ORD000468,CUST4585,swiggy instamart,2025-03-09 21:29:30,18,Personal Care,922,"Horrible experience, never ordering again.",1,0,1
ORD000473,CUST5082,jiomart,2025-03-09 01:29:30,46,Beverages,165,Items missing from order.,2,1,1
ORD000474,CUST2988,blinkit,2025-03-09 14:29:30,41,Grocery,716,Excellent experience!,5,1,0
ORD000475,CUST8478,swiggy instamart,2025-03-09 13:29:30,33,Grocery,963,Wrong item delivered.,1,0,1
ORD000480,CUST8251,jiomart,2025-03-09 16:29:30,32,Snacks,153,"Horrible experience, never ordering again.",1,0,1
ORD000482,CUST7991,swiggy instamart,2025-03-09 04:29:30,38,Snacks,245,Good quality products.,4,0,0
ORD000484,CUST8305,swiggy instamart,2025-03-09 23:29:30,42,Grocery,1279,Packaging could be better.,3,1,0
ORD000488,CUST5246,blinkit,2025-03-09 19:29:30,46,Grocery,699,Very satisfied with the service.,5,1,0
ORD000489,CUST5050,jiomart,2025-03-09 10:29:30,43,Grocery,524,Good quality products.,4,1,0
ORD000492,CUST8939,swiggy instamart,2025-03-09 11:29:30,11,Personal Care,410,"Very late delivery, not happy.",2,0,1
ORD000506,CUST4788,blinkit,2025-03-09 08:29:30,11,Beverages,406,Delivery person was rude.,2,0,1
ORD000508,CUST3503,jiomart,2025-03-09 18:29:30,31,Fruits & Vegetables,294,"Very late delivery, not happy.",2,0,1
ORD000509,CUST4505,swiggy instamart,2025-03-09 03:29:30,41,Snacks,230,"Very late delivery, not happy.",2,1,1
ORD000510,CUST2052,blinkit,2025-03-09 04:29:30,15,Snacks,281,"Horrible experience, never ordering again.",1,0,1
ORD000511,CUST7797,jiomart,2025-03-09 13:29:30,42,Beverages,198,Excellent experience!,5,1,0
ORD000514,CUST9890,blinkit,2025-03-09 06:29:30,17,Dairy,289,Delivery person was rude.,2,0,1
ORD000516,CUST7812,blinkit,2025-03-09 01:29:30,11,Snacks,251,Quick and reliable!,5,0,0
ORD000518,CUST4388,jiomart,2025-03-09 13:29:30,31,Personal Care,1241,"Easy to order, loved it!",5,0,0
ORD000520,CUST7381,jiomart,2025-03-09 17:29:30,16,Beverages,623,"Horrible experience, never ordering again.",1,0,1
ORD000522,CUST7232,blinkit,2025-03-09 21:29:30,13,Dairy,643,"Easy to order, loved it!",5,0,0
ORD000524,CUST1096,jiomart,2025-03-09 11:29:30,33,Dairy,271,Good quality products.,4,0,0
ORD000526,CUST5892,blinkit,2025-03-09 20:29:30,15,Dairy,542,Quick and reliable!,5,0,0
ORD000528,CUST7865,swiggy instamart,2025-03-09 03:29:30,31,Snacks,335,Good quality products.,4,0,0
ORD000529,CUST9818,swiggy instamart,2025-03-09 17:29:30,24,Grocery,810,"Very late delivery, not happy.",2,0,1
ORD000534,CUST5471,jiomart,2025-03-09 07:29:30,27,Fruits & Vegetables,386,Items missing from order.,2,0,1
ORD000535,CUST8140,blinkit,2025-03-09 17:29:30,29,Personal Care,511,Delivery person was rude.,2,0,1
ORD000541,CUST3704,swiggy instamart,2025-03-09 13:29:30,9,Fruits & Vegetables,186,Packaging could be better.,3,0,0
ORD000542,CUST8657,swiggy instamart,2025-03-09 04:29:30,35,Fruits & Vegetables,636,Very satisfied with the service.,5,0,0
ORD000544,CUST9751,blinkit,2025-03-09 07:29:30,35,Personal Care,1575,Items missing from order.,2,0,1
ORD000545,CUST1441,jiomart,2025-03-09 02:29:30,27,Snacks,93,Packaging could be better.,3,0,0
ORD000548,CUST2375,swiggy instamart,2025-03-09 17:29:30,39,Snacks,129,Very satisfied with the service.,5,0,0
ORD000555,CUST7211,blinkit,2025-03-09 06:29:30,16,Snacks,101,"Fast delivery, great service!",5,0,0
ORD000556,CUST6363,swiggy instamart,2025-03-09 19:29:30,27,Personal Care,504,Items missing from order.,2,0,1
ORD000561,CUST7211,jiomart,2025-03-09 19:29:30,35,Personal Care,1192,Excellent experience!,5,0,0
ORD000566,CUST8705,swiggy instamart,2025-03-09 01:29:30,25,Snacks,267,Quick and reliable!,5,0,0
ORD000570,CUST6733,blinkit,2025-03-09 07:29:30,21,Beverages,912,Items missing from order.,2,0,1
ORD000571,CUST4673,jiomart,2025-03-09 17:29:30,21,Dairy,703,"Fast delivery, great service!",5,0,0
ORD000573,CUST1659,jiomart,2025-03-09 22:29:30,21,Grocery,1428,Wrong item delivered.,1,0,1
ORD000575,CUST5051,swiggy instamart,2025-03-09 16:29:30,40,Dairy,543,Wrong item delivered.,1,0,1
ORD000579,CUST4908,blinkit,2025-03-09 02:29:30,16,Fruits & Vegetables,469,Quick and reliable!,5,0,0
ORD000581,CUST8758,blinkit,2025-03-09 16:29:30,25,Beverages,164,"Not fresh, disappointed.",2,0,1
ORD000583,CUST4571,jiomart,2025-03-09 04:29:30,29,Beverages,823,Good quality products.,4,0,0
ORD000584,CUST8619,blinkit,2025-03-09 09:29:30,34,Fruits & Vegetables,153,"Very late delivery, not happy.",2,0,1
ORD000588,CUST2876,blinkit,2025-03-09 12:29:30,16,Dairy,589,"Fast delivery, great service!",5,0,0
ORD000590,CUST6096,swiggy instamart,2025-03-09 16:29:30,41,Grocery,916,Packaging could be better.,3,1,0
ORD000592,CUST1420,jiomart,2025-03-09 23:29:30,32,Fruits & Vegetables,633,"Not fresh, disappointed.",2,0,1
ORD000595,CUST7498,blinkit,2025-03-09 07:29:30,29,Grocery,738,"Horrible experience, never ordering again.",1,0,1
ORD000600,CUST5941,blinkit,2025-03-09 11:29:30,43,Snacks,383,Items missing from order.,2,1,1
ORD000601,CUST2983,blinkit,2025-03-09 14:29:30,35,Beverages,737,"Horrible experience, never ordering again.",1,0,1
ORD000603,CUST6688,blinkit,2025-03-09 03:29:30,29,Grocery,827,"Horrible experience, never ordering again.",1,0,1
